Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
26P03 - 53339 - Investigación Ciencia y Tecnología - Sesion 01,08/13/2026,5:00 PM,08/13/2026,6:00 PM,False,Sesión 01 — Presentación del curso · docente · estudiantes · ACAs,,False
26P03 - 53339 - Investigación Ciencia y Tecnología - Sesion 02,08/20/2026,5:00 PM,08/20/2026,6:00 PM,False,Sesión 02 — MinCiencias · 6 líneas de Ingeniería · elección de línea,,False
26P03 - 53339 - Investigación Ciencia y Tecnología - Sesion 03,08/27/2026,5:00 PM,08/27/2026,6:00 PM,False,Sesión 03 — Prueba parcial · 1.er avance del artículo,,False
26P03 - 53339 - Investigación Ciencia y Tecnología - Sesion 04,09/03/2026,5:00 PM,09/03/2026,6:00 PM,False,Sesión 04 — Problema y pregunta · bases de datos y gestores de citas,,False
26P03 - 53339 - Investigación Ciencia y Tecnología - Sesion 05,09/10/2026,5:00 PM,09/10/2026,6:00 PM,False,Sesión 05 — Planteamiento del problema · marco teórico y revisión de literatura,,False
26P03 - 53339 - Investigación Ciencia y Tecnología - Sesion 06,09/17/2026,5:00 PM,09/17/2026,6:00 PM,False,Sesión 06 — Socialización del artículo y cierre del curso,,False
