Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
54408 - Creatividad y Pensamiento Innovador - Sesion 01,08/12/2026,5:00 PM,08/12/2026,6:00 PM,False,Sesión 01 — Presentación del curso · docente · estudiantes · ACAs,,False
54408 - Creatividad y Pensamiento Innovador - Sesion 02,08/19/2026,5:00 PM,08/19/2026,6:00 PM,False,Sesión 02 — Creatividad/innovación en I+D · Design Thinking y técnicas,,False
54408 - Creatividad y Pensamiento Innovador - Sesion 03,08/26/2026,5:00 PM,08/26/2026,6:00 PM,False,Sesión 03 — Gestión de la innovación (Manual de Oslo / OCDE),,False
54408 - Creatividad y Pensamiento Innovador - Sesion 04,09/02/2026,5:00 PM,09/02/2026,6:00 PM,False,Sesión 04 — Tipos de innovación,,False
54408 - Creatividad y Pensamiento Innovador - Sesion 05,09/09/2026,5:00 PM,09/09/2026,6:00 PM,False,Sesión 05 — Análisis de negocios · validación de la propuesta,,False
54408 - Creatividad y Pensamiento Innovador - Sesion 06,09/16/2026,5:00 PM,09/16/2026,6:00 PM,False,Sesión 06 — Vigilancia tecnológica,,False
54408 - Creatividad y Pensamiento Innovador - Sesion 07,09/23/2026,5:00 PM,09/23/2026,6:00 PM,False,Sesión 07 — Innovación local–internacional · entidades de apoyo,,False
